#            iprt         eigenv.           conv.
         1.000000       -2.317449        1.000000
         2.000000       -0.933600        1.000000
         3.000000       -0.739098        1.000000
         4.000000       -0.718498        1.000000
         5.000000       -0.578129        1.000000
         6.000000       -0.501152        1.000000
         7.000000       -0.456337        1.000000
         8.000000       -0.324590        0.000000
         9.000000       -0.316651        0.000000
        10.000000       -0.301620        0.000000
